user_id,profile,date,day_index,total_capacity_gb,used_gb,free_gb,used_pct,photos_gb,videos_gb,apps_gb,documents_gb,system_gb,other_gb,daily_delta_gb,cleanup_event
U001,media_heavy,2024-01-01,0,512.0,147.1385,364.8615,28.738,41.4276,33.6843,24.8831,8.4999,25.099,13.5446,0.0,0
U001,media_heavy,2024-01-02,1,512.0,147.5774,364.4226,28.824,41.6019,33.8924,24.8998,8.5121,25.1025,13.5688,0.4389,0
U001,media_heavy,2024-01-03,2,512.0,148.1358,363.8642,28.933,41.893,34.1028,24.9148,8.5188,25.1065,13.6,0.5584,0
U001,media_heavy,2024-01-04,3,512.0,148.5098,363.4902,29.006,42.0332,34.2796,24.9416,8.5318,25.1103,13.6134,0.374,0
U001,media_heavy,2024-01-05,4,512.0,149.0257,362.9743,29.107,42.2223,34.5418,24.9705,8.5427,25.1143,13.6341,0.5159,0
U001,media_heavy,2024-01-06,5,512.0,149.5997,362.4003,29.219,42.5569,34.7369,24.9875,8.5508,25.1163,13.6513,0.574,0
U001,media_heavy,2024-01-07,6,512.0,150.3603,361.6397,29.367,42.7735,35.2399,24.9907,8.5595,25.1196,13.6772,0.7606,0
U001,media_heavy,2024-01-08,7,512.0,150.8415,361.1585,29.461,42.9985,35.4572,25.0062,8.5729,25.1223,13.6844,0.4812,0
U001,media_heavy,2024-01-09,8,512.0,151.3245,360.6755,29.556,43.136,35.7443,25.0279,8.5857,25.1246,13.706,0.483,0
U001,media_heavy,2024-01-10,9,512.0,151.8107,360.1893,29.651,43.3052,36.0287,25.0414,8.5942,25.1271,13.714,0.4862,0
U001,media_heavy,2024-01-11,10,512.0,152.2802,359.7198,29.742,43.4665,36.2771,25.0664,8.606,25.1311,13.7331,0.4695,0
U001,media_heavy,2024-01-12,11,512.0,152.6061,359.3939,29.806,43.6483,36.3855,25.072,8.6107,25.1326,13.7571,0.3259,0
U001,media_heavy,2024-01-13,12,512.0,153.4651,358.5349,29.974,43.9066,36.937,25.0886,8.6236,25.1342,13.775,0.859,0
U001,media_heavy,2024-01-14,13,512.0,154.2526,357.7474,30.127,44.1686,37.4307,25.0914,8.6354,25.1375,13.7891,0.7875,0
U001,media_heavy,2024-01-15,14,512.0,154.7042,357.2958,30.216,44.3593,37.6359,25.1139,8.6455,25.1429,13.8067,0.4516,0
U001,media_heavy,2024-01-16,15,512.0,155.2544,356.7456,30.323,44.5559,37.904,25.1478,8.6588,25.1465,13.8413,0.5502,0
U001,media_heavy,2024-01-17,16,512.0,155.6241,356.3759,30.395,44.7103,38.077,25.1641,8.6633,25.1504,13.8591,0.3697,0
U001,media_heavy,2024-01-18,17,512.0,156.1142,355.8858,30.491,44.8453,38.3539,25.1927,8.6813,25.1578,13.8832,0.4901,0
U001,media_heavy,2024-01-19,18,512.0,156.5056,355.4944,30.568,44.9221,38.6275,25.2047,8.6896,25.1599,13.9018,0.3914,0
U001,media_heavy,2024-01-20,19,512.0,157.2152,354.7848,30.706,45.2274,38.997,25.2145,8.6929,25.1621,13.9213,0.7096,0
U001,media_heavy,2024-01-21,20,512.0,158.0725,353.9275,30.874,45.5311,39.5158,25.2296,8.6982,25.1637,13.934,0.8573,0
U001,media_heavy,2024-01-22,21,512.0,158.5888,353.4112,30.974,45.6774,39.8391,25.2407,8.7119,25.1673,13.9525,0.5163,0
U001,media_heavy,2024-01-23,22,512.0,159.0783,352.9217,31.07,45.8327,40.1298,25.2563,8.717,25.1684,13.9742,0.4895,0
U001,media_heavy,2024-01-24,23,512.0,159.5779,352.4221,31.168,46.0313,40.3733,25.2794,8.7322,25.1717,13.9901,0.4996,0
U001,media_heavy,2024-01-25,24,512.0,160.2398,351.7602,31.297,46.2445,40.7573,25.3014,8.7373,25.1726,14.0266,0.6619,0
U001,media_heavy,2024-01-26,25,512.0,160.7117,351.2883,31.389,46.4258,40.9793,25.3364,8.7429,25.1743,14.053,0.4719,0
U001,media_heavy,2024-01-27,26,512.0,161.45,350.55,31.533,46.7217,41.3529,25.36,8.7585,25.1774,14.0795,0.7383,0
U001,media_heavy,2024-01-28,27,512.0,162.0735,349.9265,31.655,47.0146,41.6374,25.3679,8.765,25.1799,14.1086,0.6235,0
U001,media_heavy,2024-01-29,28,512.0,162.5496,349.4504,31.748,47.2081,41.852,25.3847,8.779,25.1837,14.142,0.4761,0
U001,media_heavy,2024-01-30,29,512.0,162.9974,349.0026,31.835,47.3631,42.0891,25.4074,8.7897,25.1851,14.1629,0.4478,0
U001,media_heavy,2024-01-31,30,512.0,163.7771,348.2229,31.988,47.6902,42.5064,25.419,8.7986,25.1859,14.177,0.7797,0
U001,media_heavy,2024-02-01,31,512.0,164.2563,347.7437,32.081,47.9477,42.701,25.4326,8.8,25.1887,14.1864,0.4792,0
U001,media_heavy,2024-02-02,32,512.0,164.8069,347.1931,32.189,48.2595,42.9131,25.4439,8.8096,25.189,14.1917,0.5506,0
U001,media_heavy,2024-02-03,33,512.0,165.3311,346.6689,32.291,48.4521,43.1668,25.4826,8.8313,25.1903,14.208,0.5242,0
U001,media_heavy,2024-02-04,34,512.0,166.0952,345.9048,32.44,48.8968,43.4356,25.5004,8.8444,25.1939,14.2243,0.7641,0
U001,media_heavy,2024-02-05,35,512.0,166.5088,345.4912,32.521,49.0167,43.6738,25.5179,8.8553,25.1961,14.249,0.4136,0
U001,media_heavy,2024-02-06,36,512.0,167.057,344.943,32.628,49.2196,43.9635,25.5386,8.8653,25.198,14.2721,0.5482,0
U001,media_heavy,2024-02-07,37,512.0,167.9031,344.0969,32.794,49.5665,44.4042,25.5747,8.8768,25.1999,14.281,0.8461,0
U001,media_heavy,2024-02-08,38,512.0,168.4429,343.5571,32.899,49.7757,44.7059,25.5773,8.8905,25.2035,14.2899,0.5398,0
U001,media_heavy,2024-02-09,39,512.0,168.9684,343.0316,33.002,49.9854,44.9708,25.5945,8.9001,25.2062,14.3114,0.5255,0
U001,media_heavy,2024-02-10,40,512.0,169.4658,342.5342,33.099,50.0724,45.3432,25.6165,8.9113,25.2086,14.3139,0.4974,0
U001,media_heavy,2024-02-11,41,512.0,170.163,341.837,33.235,50.5217,45.541,25.6454,8.92,25.2115,14.3233,0.6972,0
U001,media_heavy,2024-02-12,42,512.0,170.8359,341.1641,33.366,50.7888,45.8534,25.6831,8.9347,25.2152,14.3608,0.6729,0
U001,media_heavy,2024-02-13,43,512.0,171.3544,340.6456,33.468,51.0304,46.0895,25.7039,8.9419,25.2197,14.369,0.5185,0
U001,media_heavy,2024-02-14,44,512.0,171.9589,340.0411,33.586,51.2167,46.4542,25.7317,8.9592,25.2238,14.3733,0.6045,0
U001,media_heavy,2024-02-15,45,512.0,172.3688,339.6312,33.666,51.3496,46.6715,25.7672,8.9718,25.2257,14.3831,0.4099,0
U001,media_heavy,2024-02-16,46,512.0,172.7455,339.2545,33.739,51.4802,46.8757,25.7905,8.9864,25.2296,14.3831,0.3767,0
U001,media_heavy,2024-02-17,47,512.0,173.5886,338.4114,33.904,51.7925,47.3402,25.827,8.9881,25.2317,14.409,0.8431,0
U001,media_heavy,2024-02-18,48,512.0,174.5512,337.4488,34.092,52.2248,47.7992,25.8558,8.9958,25.236,14.4397,0.9626,0
U001,media_heavy,2024-02-19,49,512.0,175.0975,336.9025,34.199,52.4357,48.087,25.8673,9.0052,25.2387,14.4636,0.5463,0
U001,media_heavy,2024-02-20,50,512.0,175.5568,336.4432,34.288,52.5757,48.3404,25.9024,9.0123,25.2405,14.4856,0.4593,0
U001,media_heavy,2024-02-21,51,512.0,176.2273,335.7727,34.419,52.7748,48.7224,25.9313,9.0256,25.2443,14.5289,0.6705,0
U001,media_heavy,2024-02-22,52,512.0,176.7571,335.2429,34.523,52.863,49.1291,25.9468,9.0361,25.2493,14.5328,0.5298,0
U001,media_heavy,2024-02-23,53,512.0,177.1087,334.8913,34.592,52.9735,49.3242,25.9715,9.0482,25.2527,14.5387,0.3516,0
U001,media_heavy,2024-02-24,54,512.0,177.8376,334.1624,34.734,53.2869,49.6712,25.9963,9.061,25.2559,14.5663,0.7289,0
U001,media_heavy,2024-02-25,55,512.0,178.5571,333.4429,34.874,53.6416,49.9866,26.0147,9.0718,25.2601,14.5824,0.7195,0
U001,media_heavy,2024-02-26,56,512.0,179.0347,332.9653,34.968,53.8265,50.2424,26.0432,9.0738,25.2612,14.5875,0.4776,0
U001,media_heavy,2024-02-27,57,512.0,179.596,332.404,35.077,53.9887,50.5754,26.0606,9.0846,25.2658,14.6208,0.5613,0
U001,media_heavy,2024-02-28,58,512.0,180.1755,331.8245,35.191,54.1461,50.9626,26.0817,9.0912,25.2679,14.626,0.5795,0
U001,media_heavy,2024-02-29,59,512.0,180.7497,331.2503,35.303,54.3264,51.3012,26.1193,9.0957,25.2715,14.6356,0.5742,0
U001,media_heavy,2024-03-01,60,512.0,181.0957,330.9043,35.37,54.5196,51.4053,26.1488,9.1033,25.2737,14.6449,0.346,0
U001,media_heavy,2024-03-02,61,512.0,181.8887,330.1113,35.525,54.8676,51.7939,26.1723,9.1147,25.2787,14.6615,0.793,0
U001,media_heavy,2024-03-03,62,512.0,182.7309,329.2691,35.69,55.2712,52.1631,26.2038,9.1263,25.2815,14.685,0.8422,0
U001,media_heavy,2024-03-04,63,512.0,183.3833,328.6167,35.817,55.5882,52.4374,26.2256,9.1406,25.2832,14.7083,0.6524,0
U001,media_heavy,2024-03-05,64,512.0,183.8184,328.1816,35.902,55.807,52.6311,26.2297,9.1423,25.2846,14.7237,0.4351,0
U001,media_heavy,2024-03-06,65,512.0,184.537,327.463,36.042,56.1167,52.9986,26.2402,9.1537,25.287,14.7409,0.7186,0
U001,media_heavy,2024-03-07,66,512.0,185.0969,326.9031,36.152,56.3529,53.2369,26.2712,9.1591,25.29,14.7869,0.5599,0
U001,media_heavy,2024-03-08,67,512.0,185.7068,326.2932,36.271,56.6349,53.514,26.2972,9.1689,25.2927,14.7991,0.6099,0
U001,media_heavy,2024-03-09,68,512.0,186.525,325.475,36.431,56.8737,54.0237,26.3284,9.1803,25.2953,14.8236,0.8182,0
U001,media_heavy,2024-03-10,69,512.0,187.1353,324.8647,36.55,57.2682,54.1863,26.3452,9.1824,25.296,14.8572,0.6103,0
U001,media_heavy,2024-03-11,70,512.0,187.4703,324.5297,36.615,57.4299,54.3208,26.3452,9.1902,25.3027,14.8816,0.335,0
U001,media_heavy,2024-03-12,71,512.0,187.8864,324.1136,36.697,57.6583,54.4502,26.3624,9.2006,25.3055,14.9095,0.4161,0
U001,media_heavy,2024-03-13,72,512.0,188.3927,323.6073,36.795,57.8982,54.6581,26.3916,9.2171,25.3071,14.9206,0.5063,0
U001,media_heavy,2024-03-14,73,512.0,189.0381,322.9619,36.922,58.0899,55.0544,26.4073,9.2329,25.3103,14.9432,0.6454,0
U001,media_heavy,2024-03-15,74,512.0,189.4602,322.5398,37.004,58.2722,55.2398,26.423,9.2447,25.3109,14.9696,0.4221,0
U001,media_heavy,2024-03-16,75,512.0,189.999,322.001,37.109,58.6866,55.3244,26.4353,9.248,25.3127,14.9921,0.5388,0
U001,media_heavy,2024-03-17,76,512.0,190.747,321.253,37.255,58.9788,55.7213,26.4575,9.254,25.3168,15.0187,0.748,0
U001,media_heavy,2024-03-18,77,512.0,191.3439,320.6561,37.372,59.2131,56.0186,26.4983,9.2636,25.3193,15.0311,0.5969,0
U001,media_heavy,2024-03-19,78,512.0,191.7135,320.2865,37.444,59.3459,56.209,26.5177,9.275,25.3224,15.0435,0.3696,0
U001,media_heavy,2024-03-20,79,512.0,192.2492,319.7508,37.549,59.5907,56.4654,26.5313,9.2871,25.3257,15.049,0.5357,0
U001,media_heavy,2024-03-21,80,512.0,192.7206,319.2794,37.641,59.8086,56.655,26.5535,9.2913,25.3307,15.0815,0.4714,0
U001,media_heavy,2024-03-22,81,512.0,193.0435,318.9565,37.704,60.0323,56.7083,26.562,9.3002,25.3321,15.1086,0.3229,0
U001,media_heavy,2024-03-23,82,512.0,193.6211,318.3789,37.817,60.2445,57.0112,26.5845,9.3166,25.3332,15.1311,0.5776,0
U001,media_heavy,2024-03-24,83,512.0,194.0829,317.9171,37.907,60.415,57.252,26.6005,9.3245,25.3374,15.1535,0.4618,0
U001,media_heavy,2024-03-25,84,512.0,194.6024,317.3976,38.008,60.6475,57.4709,26.6335,9.332,25.3395,15.1789,0.5195,0
U001,media_heavy,2024-03-26,85,512.0,194.9906,317.0094,38.084,60.8763,57.5898,26.6591,9.3379,25.3428,15.1847,0.3882,0
U001,media_heavy,2024-03-27,86,512.0,195.3788,316.6212,38.16,61.0342,57.7451,26.6866,9.3488,25.3449,15.2192,0.3882,0
U001,media_heavy,2024-03-28,87,512.0,195.9236,316.0764,38.266,61.2395,58.0407,26.7005,9.3607,25.3471,15.2351,0.5448,0
U001,media_heavy,2024-03-29,88,512.0,196.1811,315.8189,38.317,61.3842,58.0939,26.7369,9.3809,25.3495,15.2357,0.2575,0
U001,media_heavy,2024-03-30,89,512.0,196.8957,315.1043,38.456,61.6746,58.4879,26.7459,9.3932,25.3533,15.2408,0.7146,0
U001,media_heavy,2024-03-31,90,512.0,197.8687,314.1313,38.646,62.17,58.9327,26.7627,9.4027,25.3572,15.2435,0.973,0
U001,media_heavy,2024-04-01,91,512.0,198.5511,313.4489,38.78,62.3515,59.3713,26.7811,9.4193,25.3586,15.2694,0.6824,0
U001,media_heavy,2024-04-02,92,512.0,199.0544,312.9456,38.878,62.5059,59.6587,26.8136,9.428,25.359,15.2892,0.5033,0
U001,media_heavy,2024-04-03,93,512.0,199.5276,312.4724,38.97,62.6901,59.9227,26.8165,9.4316,25.3627,15.304,0.4732,0
U001,media_heavy,2024-04-04,94,512.0,200.117,311.883,39.085,62.938,60.2188,26.8295,9.4363,25.367,15.3275,0.5894,0
U001,media_heavy,2024-04-05,95,512.0,200.7156,311.2844,39.202,63.1633,60.5281,26.8536,9.4456,25.3712,15.3537,0.5986,0
U001,media_heavy,2024-04-06,96,512.0,201.394,310.606,39.335,63.433,60.8876,26.869,9.4588,25.3765,15.3691,0.6784,0
U001,media_heavy,2024-04-07,97,512.0,202.1676,309.8324,39.486,63.7759,61.2736,26.8988,9.4598,25.3782,15.3813,0.7736,0
U001,media_heavy,2024-04-08,98,512.0,202.55,309.45,39.561,63.9248,61.4621,26.917,9.4743,25.3809,15.391,0.3824,0
U001,media_heavy,2024-04-09,99,512.0,161.1842,350.8158,31.481,56.1831,33.9253,24.4766,9.065,25.3835,12.1507,-41.3658,1
U001,media_heavy,2024-04-10,100,512.0,161.689,350.311,31.58,56.2982,34.2584,24.4932,9.0709,25.3864,12.1819,0.5048,0
U001,media_heavy,2024-04-11,101,512.0,162.0542,349.9458,31.651,56.4169,34.446,24.5282,9.0821,25.3905,12.1905,0.3652,0
U001,media_heavy,2024-04-12,102,512.0,162.6188,349.3812,31.761,56.6454,34.7222,24.5539,9.0913,25.394,12.2121,0.5646,0
U001,media_heavy,2024-04-13,103,512.0,163.2259,348.7741,31.88,57.0308,34.9153,24.5539,9.1053,25.3987,12.2219,0.6071,0
U001,media_heavy,2024-04-14,104,512.0,164.163,347.837,32.063,57.3541,35.4651,24.5923,9.1174,25.4012,12.233,0.9371,0
U001,media_heavy,2024-04-15,105,512.0,164.6017,347.3983,32.149,57.5402,35.6441,24.6331,9.1345,25.4059,12.2438,0.4387,0
U001,media_heavy,2024-04-16,106,512.0,165.2268,346.7732,32.271,57.7791,35.9545,24.666,9.1471,25.41,12.2701,0.6251,0
U001,media_heavy,2024-04-17,107,512.0,165.6693,346.3307,32.357,57.8814,36.2324,24.6805,9.1519,25.4155,12.3074,0.4425,0
U001,media_heavy,2024-04-18,108,512.0,166.3346,345.6654,32.487,58.0985,36.6243,24.7009,9.1628,25.4169,12.3314,0.6653,0
U001,media_heavy,2024-04-19,109,512.0,166.7903,345.2097,32.576,58.2277,36.8897,24.7202,9.1799,25.4212,12.3515,0.4557,0
U001,media_heavy,2024-04-20,110,512.0,167.5261,344.4739,32.72,58.5453,37.2798,24.7295,9.1893,25.4231,12.359,0.7358,0
U001,media_heavy,2024-04-21,111,512.0,168.1106,343.8894,32.834,58.893,37.4489,24.7485,9.2033,25.4277,12.3893,0.5845,0
U001,media_heavy,2024-04-22,112,512.0,168.5087,343.4913,32.912,59.0477,37.6211,24.7721,9.2148,25.4326,12.4203,0.3981,0
U001,media_heavy,2024-04-23,113,512.0,168.9379,343.0621,32.996,59.1799,37.8618,24.7945,9.224,25.4348,12.4428,0.4292,0
U001,media_heavy,2024-04-24,114,512.0,169.4408,342.5592,33.094,59.3466,38.159,24.8107,9.235,25.4382,12.4514,0.5029,0
U001,media_heavy,2024-04-25,115,512.0,169.9139,342.0861,33.186,59.629,38.3238,24.8107,9.2376,25.4412,12.4717,0.4731,0
U001,media_heavy,2024-04-26,116,512.0,170.2708,341.7292,33.256,59.8986,38.3531,24.8349,9.2538,25.4425,12.4879,0.3569,0
U001,media_heavy,2024-04-27,117,512.0,170.97,341.03,33.393,60.1332,38.7242,24.8695,9.2712,25.445,12.527,0.6992,0
U001,media_heavy,2024-04-28,118,512.0,171.9063,340.0937,33.575,60.5972,39.1272,24.891,9.2826,25.4528,12.5555,0.9363,0
U001,media_heavy,2024-04-29,119,512.0,172.4521,339.5479,33.682,60.8525,39.363,24.9062,9.2963,25.4558,12.5783,0.5458,0
U001,media_heavy,2024-04-30,120,512.0,172.9981,339.0019,33.789,61.0722,39.6689,24.9069,9.3089,25.4574,12.5838,0.546,0
U001,media_heavy,2024-05-01,121,512.0,173.4591,338.5409,33.879,61.2777,39.8747,24.9355,9.3136,25.4597,12.598,0.461,0
U001,media_heavy,2024-05-02,122,512.0,173.8911,338.1089,33.963,61.4938,40.0523,24.963,9.3238,25.4599,12.5984,0.432,0
U001,media_heavy,2024-05-03,123,512.0,174.3813,337.6187,34.059,61.6819,40.3103,24.9829,9.3347,25.4643,12.6073,0.4902,0
U001,media_heavy,2024-05-04,124,512.0,175.0949,336.9051,34.198,61.8979,40.7638,25.0156,9.343,25.4643,12.6103,0.7136,0
U001,media_heavy,2024-05-05,125,512.0,175.761,336.239,34.328,62.1599,41.1209,25.0362,9.3517,25.4689,12.6235,0.6661,0
U001,media_heavy,2024-05-06,126,512.0,176.1906,335.8094,34.412,62.3862,41.2509,25.0603,9.3621,25.4717,12.6594,0.4296,0
U001,media_heavy,2024-05-07,127,512.0,176.7819,335.2181,34.528,62.7,41.497,25.0676,9.3724,25.4731,12.6719,0.5913,0
U001,media_heavy,2024-05-08,128,512.0,177.2979,334.7021,34.629,62.9301,41.7076,25.0978,9.3871,25.4782,12.6972,0.516,0
U001,media_heavy,2024-05-09,129,512.0,177.6728,334.3272,34.702,63.0252,41.945,25.1093,9.3975,25.4804,12.7155,0.3749,0
U001,media_heavy,2024-05-10,130,512.0,178.2197,333.7803,34.809,63.2147,42.2467,25.1271,9.4078,25.4834,12.74,0.5469,0
U001,media_heavy,2024-05-11,131,512.0,179.1852,332.8148,34.997,63.6635,42.6996,25.1533,9.4132,25.4862,12.7694,0.9655,0
U001,media_heavy,2024-05-12,132,512.0,180.1018,331.8982,35.176,63.9891,43.2308,25.1784,9.428,25.4897,12.7858,0.9166,0
