feature,importance
num__used_gb_lag_1,0.36260647
num__used_gb,0.30663395
num__used_gb_roll_mean_7,0.22391406
num__used_gb_lag_14,0.04107372
num__day_index,0.008402979
num__used_pct,0.0070241117
num__used_gb_roll_mean_30,0.0070127966
num__free_gb,0.0057293153
num__week_of_year,0.004851802
num__day_of_year,0.0041898745
num__used_gb_lag_30,0.0038557295
cat__profile_gamer,0.0034707645
num__used_gb_roll_std_30,0.0031202007
cat__profile_media_heavy,0.002886371
cat__profile_cleaner,0.0024554378
cat__profile_office_user,0.002256501
num__month,0.0022437994
num__total_capacity_gb,0.002108474
num__used_gb_lag_7,0.002084608
num__day_of_month,0.0013825863
num__used_gb_roll_std_7,0.0010038571
num__daily_delta_gb,0.0007245829
num__is_weekend,0.0006843936
num__day_of_week,0.0002750724
num__cleanup_event,8.565077e-06
